"remote_allowed","normalized_salary","title_idx_num","state_idx_num","formatted_work_type_idx_num","formatted_experience_level_idx_num"
"0.0","35360.0","0.0","5.0","4.0","2.0"
"1.0","62500.0","65.0","51.0","0.0","1.0"
"0.0","53000.0","0.0","3.0","0.0","1.0"
"1.0","176800.0","0.0","24.0","1.0","2.0"
"0.0","79500.0","0.0","38.0","0.0","4.0"
"1.0","158750.0","0.0","0.0","0.0","2.0"
"0.0","135200.0","2212.0","8.0","0.0","1.0"
"0.0","119485.6","0.0","14.0","0.0","0.0"
"0.0","107500.0","0.0","15.0","0.0","2.0"
"0.0","159544.32","0.0","3.0","1.0","0.0"
"1.0","160000.0","0.0","0.0","0.0","0.0"
"0.0","85000.0","0.0","1.0","0.0","3.0"
"1.0","67500.0","0.0","0.0","0.0","3.0"
"0.0","43680.0","38.0","16.0","0.0","1.0"
"0.0","165000.0","0.0","22.0","0.0","4.0"
"0.0","234883.415","0.0","12.0","0.0","4.0"
"0.0","124170.5","0.0","0.0","0.0","0.0"
"0.0","58240.0","0.0","14.0","0.0","1.0"
"0.0","50000.0","0.0","37.0","0.0","2.0"
"0.0","100067.715","0.0","2.0","0.0","1.0"
"0.0","265000.0","0.0","0.0","0.0","6.0"
"0.0","60320.0","0.0","17.0","0.0","2.0"
"1.0","174720.0","912.0","20.0","0.0","0.0"
"0.0","42640.0","0.0","2.0","0.0","1.0"
"1.0","165000.0","0.0","0.0","0.0","3.0"
"1.0","259625.0","0.0","0.0","0.0","0.0"
"0.0","142625.0","0.0","4.0","0.0","0.0"
"0.0","150000.0","0.0","3.0","0.0","1.0"
"0.0","70000.0","0.0","9.0","0.0","2.0"
"0.0","66000.0","0.0","37.0","0.0","0.0"
"1.0","133120.0","0.0","0.0","0.0","0.0"
"0.0","130000.0","110.0","21.0","1.0","2.0"
"0.0","135200.0","2571.0","21.0","1.0","0.0"
"0.0","45500.0","0.0","28.0","0.0","1.0"
"0.0","70000.0","0.0","1.0","0.0","4.0"
"0.0","48880.0","0.0","7.0","0.0","2.0"
"1.0","162500.0","0.0","0.0","0.0","2.0"
"0.0","112500.0","78.0","1.0","0.0","2.0"
"0.0","97500.0","5.0","12.0","0.0","0.0"
"1.0","76000.0","0.0","0.0","0.0","0.0"
"0.0","46903.99999999999","0.0","14.0","0.0","1.0"
"0.0","172300.0","0.0","2.0","0.0","0.0"
"0.0","52020.8","0.0","20.0","0.0","1.0"
"1.0","95000.0","0.0","0.0","0.0","0.0"
"0.0","66248.0","92.0","13.0","0.0","1.0"
"0.0","142469.6","0.0","14.0","0.0","0.0"
