Illinois,278750.00
Greater Burlington Area,254340.00
Boise Metropolitan Area,130625.00
San Francisco Bay Area,119269.81
Greater Colorado Springs Area,114361.30
La Crosse-Onalaska Area,109375.00
Louisiana Metropolitan Area,107777.78
Greater Augusta Area,107083.33
Cape Coral Metropolitan Area,106875.00
New York City Metropolitan Area,106076.32
Greater Bend Area,105750.00
Greater Seattle Area,105692.54
Delaware,105250.00
Walla Walla Area,104000.00
San Diego Metropolitan Area,102236.02
Los Angeles Metropolitan Area,101532.01
AR Area,101243.50
Greater Tucson Area,101072.00
Crestview-Fort Walton Beach-Destin Area,100000.00
Greater Sacramento,99642.70
Oklahoma,99196.75
Greater Hartford,98915.83
Nebraska,98197.70
Greater Chicago Area,96933.72
Greater Macon,96727.78
Greater Lansing,95788.89
United States,95565.68
Indiana Metropolitan Area,95416.67
Greater Bismarck Area,94987.33
CA,94556.81
Washington DC-Baltimore Area,94498.60
Metro Jacksonville,94166.67
Greater Philadelphia,94044.62
Youngstown-Warren area,93750.00
WA,93302.74
Rocky Mount-Wilson Area,93033.33
NY,93030.63
Greater Chico Area,92370.50
Massachusetts Metropolitan Area,92338.82
Greater Eugene-Springfield Area,92083.33
Greater Cleveland,91965.12
Albuquerque-Santa Fe Metropolitan Area,91700.00
DC,91056.78
Oregon Metropolitan Area,90678.10
Greater Houston,90637.71
Dallas-Fort Worth Metroplex,90097.68
Greater New Orleans Region,90000.00
New York Metropolitan Area,89842.38
Little Rock Metropolitan Area,89705.88
New Jersey,89666.67
Ohio,89647.37
Greater Phoenix Area,89180.31
South Carolina Area,89095.20
MI Area,88750.00
Greater Syracuse-Auburn Area,88629.20
Greater Lexington Area,88333.33
Greater Boston,88199.29
Denver Metropolitan Area,87974.65
Memphis Metropolitan Area,87835.00
MA,87357.43
College Station-Bryan Area,87142.86
Utica-Rome Area,86983.33
NJ,86956.12
North Carolina Metropolitan Area,86875.00
Salt Lake City Metropolitan Area,86826.55
Texas Metropolitan Area,86374.47
Greensboro--Winston-Salem--High Point Area,86217.39
Louisville Metropolitan Area,86143.87
VA,86028.07
Greater Milwaukee,85892.86
Greater St. Louis,85844.72
AK,85800.57
CT,85689.19
Pensacola Metropolitan Area,85625.00
IL,85539.65
Tulsa Metropolitan Area,85416.67
North Carolina,85252.11
Cincinnati Metropolitan Area,85209.02
Hawaii,85191.67
Atlanta Metropolitan Area,85115.93
MD,85113.25
Charlotte Metro,85023.24
GA,85012.47
Detroit Metropolitan Area,84812.50
Des Moines Metropolitan Area,84655.56
Greater Tampa Bay Area,84592.61
Raleigh-Durham-Chapel Hill Area,84587.75
OR,84525.76
California,84508.31
Alabama Area,84318.23
Greater Minneapolis-St. Paul Area,84235.58
DE,84203.33
Mobile Metropolitan Area,84166.67
TX,84023.39
Kansas City Metropolitan Area,83920.31
Appleton-Oshkosh-Neenah Area,83863.64
Miami-Fort Lauderdale Area,83856.87
Oregon,83837.15
Greater Corpus Christi Area,83807.69
NC,83740.33
Ohio Metropolitan Area,83648.06
CO,83575.06
Greater Pittsburgh Region,83372.59
Oklahoma City Metropolitan Area,83016.22
